,VMV_CODE,NATIONAL_VARIABLE_CODE,VARIABLE_COMMON_NAME,VARIABLE_COMMON_NAME_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,MEASUREMENT_UNIT,DESCRIPTION,DESCRIPTION_FR,NATIONAL_METHOD_CODE,METHOD_TITLE,METHOD_TITLE_FR
27,100159,463,CHROMIUM TOTAL,CHROME TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
28,100160,470,COPPER TOTAL,CUIVRE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
29,100161,519,IRON TOTAL,FER TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
30,100162,576,LITHIUM TOTAL,LITHIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
31,100163,591,MANGANESE TOTAL,MANGANÈSE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
32,100164,595,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
33,100165,610,NICKEL TOTAL,NICKEL TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
34,100166,683,LEAD TOTAL,PLOMB TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
35,100167,823,STRONTIUM TOTAL,STRONTIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
36,100168,878,VANADIUM TOTAL,VANADIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2631.0,TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.,MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD.
